FK_Survey_ID,PK_Fish_ID,FK_Effort_ID,Effort,Gang,Species code,Fish #,FLEN,TLEN,RWT,Sex,Gonad,Clip_C,AST,Tissue,Stomach,FIA_PREY_1,FIA_PREY_2,FIA_Comments,,,
1,1,1,1,,331,1,149,158,25,1,,,,,,,,,,,
1,2,3,3,,316,1,232,250,150,2,20,,,,0,,,,,,
1,3,4,4,1,331,222,90,,,,,,,,,,,,,,
1,4,4,4,1,331,223,140,,,,,,,,,,,,,,
1,5,4,4,1,331,224,170,,,,,,,,,,,,,,
1,6,4,4,1,316,225,120,,,,,,,,,,,,,,
1,7,4,4,2,331,226,80,,,,,,,,,,,,,,
1,8,4,4,2,316,227,120,,,,,,,,,,,,,,
1,9,5,5,1,331,228,120,,,,,,,,,,,,,,
1,10,5,5,1,313,229,70,,,,,,,,,,,,,,
1,11,5,5,1,313,230,80,,,,,,,,,,,,,,
1,12,5,5,2,313,231,70,,,,,,,,,,,,,,
1,13,5,5,2,331,232,70,,,,,,,,,,,,,,
1,14,5,5,2,331,233,80,,,,,,,,,,,,,,
1,15,6,6,1,331,234,70,,,,,,,,,,,,,,
1,16,6,6,1,331,235,70,,,,,,,,,,,,,,
1,17,6,6,1,331,236,80,,,,,,,,,,,,,,
1,18,6,6,1,331,237,80,,,,,,,,,,,,,,
1,19,6,6,1,331,238,80,,,,,,,,,,,,,,
1,20,6,6,1,331,239,80,,,,,,,,,,,,,,
1,21,6,6,1,331,240,80,,,,,,,,,,,,,,
1,22,6,6,1,331,241,80,,,,,,,,,,,,,,
1,23,6,6,1,331,242,90,,,,,,,,,,,,,,
1,24,6,6,1,331,243,100,,,,,,,,,,,,,,
1,25,6,6,1,331,244,110,,,,,,,,,,,,,,
1,26,6,6,1,331,245,120,,,,,,,,,,,,,,
1,27,6,6,1,331,246,130,,,,,,,,,,,,,,
1,28,6,6,1,331,247,130,,,,,,,,,,,,,,
1,29,6,6,1,331,248,130,,,,,,,,,,,,,,
1,30,6,6,1,331,249,130,,,,,,,,,,,,,,
1,31,6,6,1,331,250,130,,,,,,,,,,,,,,
1,32,6,6,1,331,251,130,,,,,,,,,,,,,,
1,33,6,6,1,331,252,140,,,,,,,,,,,,,,
1,34,6,6,1,331,253,140,,,,,,,,,,,,,,
1,35,6,6,1,331,254,140,,,,,,,,,,,,,,
1,36,6,6,1,331,255,140,,,,,,,,,,,,,,
1,37,6,6,1,331,256,140,,,,,,,,,,,,,,
1,38,6,6,1,331,257,140,,,,,,,,,,,,,,
1,39,6,6,1,331,258,140,,,,,,,,,,,,,,
1,40,6,6,1,331,259,140,,,,,,,,,,,,,,
1,41,6,6,1,331,260,140,,,,,,,,,,,,,,
1,42,6,6,1,331,261,140,,,,,,,,,,,,,,
1,43,6,6,1,331,262,140,,,,,,,,,,,,,,
1,44,6,6,1,331,263,140,,,,,,,,,,,,,,
1,45,6,6,1,331,264,140,,,,,,,,,,,,,,
1,46,6,6,1,331,265,140,,,,,,,,,,,,,,
1,47,6,6,1,331,266,140,,,,,,,,,,,,,,
1,48,6,6,1,331,267,140,,,,,,,,,,,,,,
1,49,6,6,1,331,268,140,,,,,,,,,,,,,,
1,50,6,6,1,331,269,140,,,,,,,,,,,,,,
1,51,6,6,1,331,270,140,,,,,,,,,,,,,,
1,52,6,6,1,331,271,140,,,,,,,,,,,,,,
1,53,6,6,1,331,272,140,,,,,,,,,,,,,,
1,54,6,6,1,331,273,140,,,,,,,,,,,,,,
1,55,6,6,1,331,274,140,,,,,,,,,,,,,,
1,56,6,6,1,331,275,150,,,,,,,,,,,,,,
1,57,6,6,1,331,276,150,,,,,,,,,,,,,,
1,58,6,6,1,331,277,150,,,,,,,,,,,,,,
1,59,6,6,1,331,278,150,,,,,,,,,,,,,,
1,60,6,6,1,331,279,150,,,,,,,,,,,,,,
1,61,6,6,1,331,280,150,,,,,,,,,,,,,,
1,62,6,6,1,331,281,150,,,,,,,,,,,,,,
1,63,6,6,1,331,282,150,,,,,,,,,,,,,,
1,64,6,6,1,331,283,160,,,,,,,,,,,,,,
1,65,6,6,1,331,284,160,,,,,,,,,,,,,,
1,66,6,6,1,331,285,160,,,,,,,,,,,,,,
1,67,6,6,1,331,286,180,,,,,,,,,,,,,,
1,68,6,6,2,331,287,60,,,,,,,,,,,,,,
1,69,6,6,2,331,288,70,,,,,,,,,,,,,,
1,70,6,6,2,331,289,70,,,,,,,,,,,,,,
1,71,6,6,2,331,290,80,,,,,,,,,,,,,,
1,72,6,6,2,331,291,90,,,,,,,,,,,,,,
1,73,6,6,2,331,292,90,,,,,,,,,,,,,,
1,74,6,6,2,331,293,100,,,,,,,,,,,,,,
1,75,6,6,2,331,294,100,,,,,,,,,,,,,,
1,76,6,6,2,331,295,100,,,,,,,,,,,,,,
1,77,6,6,2,331,296,100,,,,,,,,,,,,,,
1,78,6,6,2,331,297,110,,,,,,,,,,,,,,
1,79,6,6,2,331,298,110,,,,,,,,,,,,,,
1,80,6,6,2,331,299,110,,,,,,,,,,,,,,
1,81,6,6,2,331,300,110,,,,,,,,,,,,,,
1,82,6,6,2,331,301,110,,,,,,,,,,,,,,
1,83,6,6,2,331,302,110,,,,,,,,,,,,,,
1,84,6,6,2,331,303,110,,,,,,,,,,,,,,
1,85,6,6,2,331,304,120,,,,,,,,,,,,,,
1,86,6,6,2,331,305,120,,,,,,,,,,,,,,
1,87,6,6,2,331,306,120,,,,,,,,,,,,,,
1,88,6,6,2,331,307,120,,,,,,,,,,,,,,
1,89,6,6,2,331,308,120,,,,,,,,,,,,,,
1,90,6,6,2,331,309,120,,,,,,,,,,,,,,
1,91,6,6,2,331,310,120,,,,,,,,,,,,,,
1,92,6,6,2,331,311,120,,,,,,,,,,,,,,
1,93,6,6,2,331,312,120,,,,,,,,,,,,,,
1,94,6,6,2,331,313,120,,,,,,,,,,,,,,
1,95,6,6,2,331,314,120,,,,,,,,,,,,,,
1,96,6,6,2,331,315,120,,,,,,,,,,,,,,
1,97,6,6,2,331,316,120,,,,,,,,,,,,,,
1,98,6,6,2,331,317,120,,,,,,,,,,,,,,
1,99,6,6,2,331,318,120,,,,,,,,,,,,,,
1,100,6,6,2,331,319,120,,,,,,,,,,,,,,
1,101,6,6,2,331,320,120,,,,,,,,,,,,,,
1,102,6,6,2,331,321,130,,,,,,,,,,,,,,
1,103,6,6,2,331,322,130,,,,,,,,,,,,,,
1,104,6,6,2,331,323,130,,,,,,,,,,,,,,
1,105,6,6,2,331,324,130,,,,,,,,,,,,,,
1,106,6,6,2,331,325,130,,,,,,,,,,,,,,
1,107,6,6,2,331,326,130,,,,,,,,,,,,,,
1,108,6,6,2,331,327,130,,,,,,,,,,,,,,
1,109,6,6,2,331,328,130,,,,,,,,,,,,,,
1,110,6,6,2,331,329,140,,,,,,,,,,,,,,
1,111,6,6,2,331,330,150,,,,,,,,,,,,,,
1,112,6,6,2,331,331,150,,,,,,,,,,,,,,
1,113,6,6,2,331,332,150,,,,,,,,,,,,,,
1,114,6,6,2,331,333,150,,,,,,,,,,,,,,
1,115,6,6,2,331,334,150,,,,,,,,,,,,,,
1,116,6,6,2,331,335,150,,,,,,,,,,,,,,
1,117,6,6,2,331,336,150,,,,,,,,,,,,,,
1,118,6,6,2,331,337,150,,,,,,,,,,,,,,
1,119,6,6,2,331,338,150,,,,,,,,,,,,,,
1,120,6,6,2,331,339,150,,,,,,,,,,,,,,
1,121,6,6,2,331,340,160,,,,,,,,,,,,,,
1,122,7,7,,331,1,140,,,,,,,,,,,,,,
