Water,Site,TAXON,SIASAM,d13C,d15N,C.N
Baby Lk.,,NPIKE,10001,-26.46,10.03,3.19
Baby Lk.,,NPIKE,10001,-26.45,10.07,3.19
Baby Lk.,,WS,10002,-26.25,6.05,3.31
Baby Lk.,,WS,10003,-31.79,3.43,3.47
Baby Lk.,,WS,10004,-30.98,5.38,3.34
Baby Lk.,,WS,10005,-27.09,5.74,3.3
Baby Lk.,,WS,11001,-24.73,6.25,3.38
Baby Lk.,,WS,11002,-24.17,5.89,3.35
Baby Lk.,,WS,11003,-24.86,6.66,3.34
Baby Lk.,,WS,11003,-24.88,6.71,3.33
Baby Lk.,,WS,11004,-24.85,7.07,3.43
Baby Lk.,,COSHIN,11005,-27.74,7.1,3.59
Baby Lk.,,COSHIN,11006,-29.97,7.9,3.45
Baby Lk.,,COSHIN,11007,-30.15,7.61,3.72
Baby Lk.,,COSHIN,11008,-29.98,6.58,3.56
Baby Lk.,,COSHIN,11009,-30.31,7.13,3.63
Baby Lk.,,COSHIN,11010,-29.75,7.76,3.78
Baby Lk.,,COSHIN,11011,-32.3,5.96,3.71
Baby Lk.,,COSHIN,11012,-30.38,7.22,3.7
Baby Lk.,,COSHIN,11013,-31.58,6.38,3.59
Baby Lk.,,COSHIN,11014,-28.99,7.68,3.53
Baby Lk.,,CCHUB,11015,-24.92,5.15,3.43
Baby Lk.,,CCHUB,11016,-25.42,5.69,3.7
Baby Lk.,,CCHUB,11017,-25.95,5.48,3.46
Baby Lk.,,CCHUB,11018,-26.52,6.8,3.44
Baby Lk.,,CCHUB,11019,-26.33,5.83,3.46
Baby Lk.,,PSEED,11020,-24.26,6.85,3.44
Baby Lk.,,PSEED,11021,-26.04,8.06,3.32
Baby Lk.,,PSEED,11021,-26.07,8.06,3.32
Baby Lk.,,PSEED,11022,-24.22,7.68,3.32
Baby Lk.,,PSEED,11023,-24.22,7.9,3.37
Baby Lk.,,PSEED,11024,-28.37,6.17,3.28
Baby Lk.,,PSEED,11025,-27.28,6.77,3.32
Baby Lk.,,PSEED,11026,-29.41,6.1,3.27
Baby Lk.,,PSEED,11027,-26.32,7.23,3.25
Baby Lk.,,PSEED,11028,-31.76,5.61,3.26
Baby Lk.,,PSEED,11029,-33.74,5.76,3.25
Baby Lk.,,SMB,11030,-27.69,7.92,3.33
Baby Lk.,,SMB,11031,-28.59,7.11,3.39
Baby Lk.,,SMB,11032,-27.45,7.47,3.45
Baby Lk.,,SMB,11033,-29.32,7.03,3.4
Baby Lk.,,SMB,11034,-29.47,6.98,3.39
Baby Lk.,,SMB,11035,-28.87,6.91,3.46
Baby Lk.,,YPERCH,11036,-28.31,6.11,3.29
Baby Lk.,,YPERCH,11037,-29.11,6.73,3.27
Baby Lk.,,YPERCH,11038,-28.88,6.24,3.27
Baby Lk.,,YPERCH,11039,-29.63,6.27,3.33
Baby Lk.,,YPERCH,11039,-29.64,6.32,3.33
Baby Lk.,,YPERCH,11040,-29.27,6.35,3.3
Baby Lk.,,YPERCH,11041,-28.93,6.54,3.31
Baby Lk.,,YPERCH,11042,-33.64,6.09,3.33
Baby Lk.,,YPERCH,11043,-28.94,6.67,3.29
Baby Lk.,,YPERCH,11044,-29.41,7.3,3.49
Baby Lk.,,YPERCH,11045,-27.88,6.88,3.33
Baby Lk.,,EPH,12001,-28.08,3.6,4.54
Baby Lk.,,ZOOP,13001,-30.69,1.85,4.63
Baby Lk.,,PERI,14001,-26.95,1.14,13.7
Baby Lk.,A,PERI,14004,-24.92,0.2,9.88
Baby Lk.,B,PERI,14005,-25.54,0.13,10.19
Baby Lk.,C,PERI,14006,-25.97,0.12,11.79
Daisy Lk.,,NPIKE,10006,-27.85,9.27,3.25
Daisy Lk.,,NPIKE,10007,-27.43,9.36,3.21
Daisy Lk.,,NPIKE,10008,-27.9,10.73,3.19
Daisy Lk.,,NPIKE,10009,-26.96,10.79,3.19
Daisy Lk.,,NPIKE,10010,-26.74,10.86,3.21
Daisy Lk.,,NPIKE,10011,-27.78,10.46,3.18
Daisy Lk.,,NPIKE,10012,-28.39,9.07,3.21
Daisy Lk.,,NPIKE,10013,-27.81,10.7,3.17
Daisy Lk.,,WS,10014,-29.34,7.9,3.97
Daisy Lk.,,WS,10015,-26.3,6.36,3.21
Daisy Lk.,,SMB,10016,-28.59,7.61,3.6
Daisy Lk.,,SMB,10017,-28.44,7.96,3.27
Daisy Lk.,,SMB,10018,-27.78,8.53,3.39
Daisy Lk.,,SMB,10018,-27.8,8.53,3.4
Daisy Lk.,,SMB,10019,-29.06,8.12,3.68
Daisy Lk.,,SMB,10020,-28.22,8.12,3.56
Daisy Lk.,,SMB,10021,-28.02,8.28,3.37
Daisy Lk.,,SMB,10022,-28.57,8.32,3.3
Daisy Lk.,,SMB,10023,-28.08,8.7,3.35
Daisy Lk.,,SMB,10024,-28.21,7.94,3.32
Daisy Lk.,,SMB,10025,-27.45,8,3.25
Daisy Lk.,,WALL,10026,-27.64,7.82,3.19
Daisy Lk.,,WALL,10027,-28.04,8.18,3.21
Daisy Lk.,,WALL,10028,-28.44,8.74,3.22
Daisy Lk.,,WALL,10029,-28.33,8.14,3.23
Daisy Lk.,,WALL,10030,-27.93,8.54,3.2
Daisy Lk.,,WALL,10031,-28.31,8.19,3.21
Daisy Lk.,,WALL,10032,-28.14,7.86,3.27
Daisy Lk.,,WALL,10033,-28.16,9.31,3.25
Daisy Lk.,,WALL,10034,-27.88,8.61,3.2
Daisy Lk.,,WALL,10035,-28.09,10.26,3.34
Daisy Lk.,,BBULL,11046,-30.98,5.53,3.25
Daisy Lk.,,BBULL,11047,-28.08,5.42,3.27
Daisy Lk.,,BBULL,11048,-28.35,6.19,3.25
Daisy Lk.,,BBULL,11049,-28.37,6.61,3.27
Daisy Lk.,,BBULL,11050,-26.64,6.32,3.22
Daisy Lk.,,BBULL,11051,-26.9,6.38,3.26
Daisy Lk.,,BBULL,11052,-26.23,6.79,3.25
Daisy Lk.,,BBULL,11053,-26.9,6.26,3.27
Daisy Lk.,,BBULL,11054,-27.93,6.48,3.24
Daisy Lk.,,BBULL,11055,-26.31,6.55,3.24
Daisy Lk.,,PSEED,11056,-29.68,6.76,3.38
Daisy Lk.,,PSEED,11057,-29.37,7.45,3.26
Daisy Lk.,,PSEED,11057,-29.33,7.5,3.26
Daisy Lk.,,PSEED,11058,-27.72,7.53,3.26
Daisy Lk.,,PSEED,11059,-29.15,7.31,3.22
Daisy Lk.,,SMB,11060,-27.12,6.98,3.38
Daisy Lk.,,SMB,11061,-27.79,6.6,3.28
