SIA SAM,FISH,WBY,REGION,YEAR,DAY,TAXON,COMP,FLEN,TLEN,RWT,Tissue,Check,Del 15N,Del 13C,C/N,Comments
23579,.,Manitou-2,.,2021,18-Aug,CLAM,1,.,71,16.21,MUSCLE,V,1.39,-31.38,3.66,.
23580,.,Manitou-2,.,2021,18-Aug,CLAM,1,.,69,16.75,MUSCLE,V,0.89,-30.46,4.00,.
23581,.,Manitou-2,.,2021,17-Aug,RBASS,1,.,45,1.61,MUSCLE,V,6.34,-28.51,3.47,.
23582,.,Manitou-2,.,2021,17-Aug,RBASS,1,.,51,1.82,MUSCLE,V,6.61,-28.63,3.39,.
23583,.,Manitou-2,.,2021,17-Aug,RBASS,1,.,58,2.78,MUSCLE,V,6.14,-28.82,3.36,.
23584,.,Manitou-2,.,2021,17-Aug,RBASS,1,.,67,4.81,MUSCLE,V,6.13,-28.78,3.30,.
23585,.,Manitou-2,.,2021,17-Aug,RBASS,1,.,76,6.41,MUSCLE,V,6.76,-27.71,3.29,.
23586,.,Manitou-2,.,2021,17-Aug,CISCO,1,.,80,.,MUSCLE,V,5.16,-30.79,3.30,.
23587,.,Manitou-2,.,2021,17-Aug,CISCO,1,.,95,.,MUSCLE,V,5.46,-31.29,3.42,.
23588,.,Manitou-2,.,2021,17-Aug,CISCO,1,.,112,9.53,MUSCLE,V,6.87,-30.32,3.25,.
23589,.,Manitou-2,.,2021,17-Aug,CISCO,1,.,130,14.95,MUSCLE,V,5.95,-31.91,3.53,.
23590,.,Manitou-2,.,2021,17-Aug,CISCO,1,.,188,52.50,MUSCLE,V,7.69,-30.67,3.56,.
23591,.,Manitou-2,.,2021,17-Aug,YPERCH,1,.,46,0.80,BODY,V,4.43,-30.12,3.61,.
23592,.,Manitou-2,.,2021,17-Aug,YPERCH,1,.,81,3.93,MUSCLE,V,5.41,-29.69,3.25,.
23593,.,Manitou-2,.,2021,17-Aug,YPERCH,1,.,86,4.88,MUSCLE,V,5.56,-30.45,3.20,.
23594,.,Manitou-2,.,2021,17-Aug,YPERCH,1,.,111,13.18,MUSCLE,V,6.24,-28.36,3.25,.
23595,.,Manitou-2,.,2021,17-Aug,YPERCH,1,.,128,18.95,MUSCLE,V,6.73,-26.61,3.22,.
23596,.,Manitou-2,.,2021,18-Aug,SLSCULP,3,.,43,0.75,BODY,V,6.95,-31.09,4.26,.
23597,.,Manitou-2,.,2021,18-Aug,SLSCULP,1,.,55,1.46,MUSCLE,V,7.93,-30.86,3.54,.
23598,.,Manitou-2,.,2021,18-Aug,SLSCULP,1,.,56,1.33,MUSCLE,V,7.17,-30.19,3.72,.
23599,.,Manitou-2,.,2021,18-Aug,SLSCULP,1,.,62,1.76,MUSCLE,V,7.10,-29.78,3.49,.
23600,.,Manitou-2,.,2021,18-Aug,SLSCULP,1,.,63,2.57,MUSCLE,V,7.94,-32.55,4.02,.
23601,.,Manitou-2,.,2021,18-Aug,SLSCULP,1,.,67,3.23,MUSCLE,V,6.27,-27.08,3.46,.
23602,.,Manitou-2,.,2021,18-Aug,SLSCULP,1,.,73,4.06,MUSCLE,V,8.36,-31.74,4.19,.
23603,.,Manitou-2,.,2021,18-Aug,SLSCULP,1,.,81,5.17,MUSCLE,V,8.91,-32.14,3.93,.
23604,.,Manitou-2,.,2021,18-Aug,SLSCULP,1,.,83,5.16,MUSCLE,V,8.67,-31.86,3.63,.
23605,.,Manitou-2,.,2021,18-Aug,SLSCULP,1,.,98,8.36,MUSCLE,V,8.59,-31.62,3.55,.
23606,.,Manitou-2,.,2021,17-Aug,RSMELT,1,.,106,5.64,MUSCLE,V,6.25,-30.09,3.33,.
23607,.,Manitou-2,.,2021,17-Aug,JOHNDART,1,.,51,1.05,MUSCLE,V,6.89,-21.96,3.38,.
23608,.,Manitou-2,.,2021,17-Aug,JOHNDART,1,.,61,1.49,MUSCLE,V,6.29,-27.26,3.35,.
23954,.,Manitou-2,.,2021,17-Aug,HEPTAGEN,.,.,.,.,BODY,V,-0.08,-22.87,4.61,.
23955,.,Manitou-2,.,2021,17-Aug,AMPHIPOD,.,.,.,.,BODY,V,0.20,-22.63,5.25,date assumed
25101,.,Manitou-2,.,2022,20-Jul,AMPHIPOD,40,.,.,.,BODY,V,-0.02,-22.81,4.63,Effort 32; nearshore
25102,.,Manitou-2,.,2022,20-Jul,AMPHIPOD,41,.,.,.,BODY,V,-0.01,-22.90,4.54,Effort 32; nearshore
25103,.,Manitou-2,.,2022,20-Jul,AMPHIPOD,5,.,.,.,BODY,V,3.68,-31.62,11.25,"offshore, deep (Therrien)"
25111,.,Manitou-2,.,2022,20-Jul,HEPTAGEN,26,.,.,.,BODY,V,-0.23,-24.11,5.01,.
25112,.,Manitou-2,.,2022,20-Jul,EPHEMERI,2,.,.,.,BODY,V,1.61,-24.06,4.16,.
25210,.,Manitou-2,.,2022,20-Jul,CLAM,1,.,80,29.00,MUSCLE,V,3.33,-30.86,4.18,Pyganodon grandis
25211,.,Manitou-2,.,2022,20-Jul,CLAM,1,.,81,38.30,MUSCLE,V,2.82,-31.63,3.96,Pyganodon grandis
25212,.,Manitou-2,.,2022,20-Jul,CLAM,1,.,82,35.40,MUSCLE,V,2.24,-32.14,3.96,Pyganodon grandis
