SIA SAM,FISH,WBY,REGION,YEAR,DAY,TAXON,COMP,FLEN,TLEN,RWT,Tissue,Check,Del 15N,Del 13C,C/N,Comments
9794,.,Tadenac,.,2013,12-Jun,MAYFLY,.,.,.,.,BODY,V,1.21,-23.42,4.89,.
10160,2,Tadenac,.,2012,13-Jun,NP,1,.,455,601.8,MUSCLE,V,9,-26.72,3.18,.
10161,58,Tadenac,.,2012,13-Jun,NP,1,582,603,1422,MUSCLE,V,10.27,-26.46,3.15,.
10162,81,Tadenac,.,2012,15-Jun,NP,1,461,500,399.6,MUSCLE,V,10.17,-26.4,3.13,.
10163,82,Tadenac,.,2012,19-Jun,NP,1,561,590,1313.7,MUSCLE,V,10.93,-26.25,3.16,.
10164,84,Tadenac,.,2012,20-Jun,NP,1,545,569,1046.9,MUSCLE,V,10.31,-25.7,3.14,.
10165,85,Tadenac,.,2012,20-Jun,NP,1,465,490,431.2,MUSCLE,V,10.03,-26.06,3.16,.
10166,86,Tadenac,.,2012,21-Jun,NP,1,759,800,2750,MUSCLE,V,11.05,-26.58,3.12,.
10167,87,Tadenac,.,2012,21-Jun,NP,1,614,644,1900,MUSCLE,V,10.87,-26.71,3.18,.
10168,88,Tadenac,.,2012,15-Jun,NP,1,816,851,3272.1,MUSCLE,V,11.81,-26.15,3.13,.
10169,9,Tadenac,.,2012,13-Jun,SMB,1,.,511,1553.4,MUSCLE,V,10.04,-25.67,3.21,.
10170,11,Tadenac,.,2012,13-Jun,SMB,1,370,392,773.1,MUSCLE,V,10.46,-26.32,3.43,.
10171,13,Tadenac,.,2012,13-Jun,SMB,1,448,468,1435.4,MUSCLE,V,10.29,-26.33,3.21,.
10172,16,Tadenac,.,2012,13-Jun,SMB,1,441,461,1309.2,MUSCLE,V,9.49,-25.75,3.12,.
10173,17,Tadenac,.,2012,13-Jun,SMB,1,259,274,258,MUSCLE,V,8.26,-25.78,3.16,.
10174,29,Tadenac,.,2012,13-Jun,SMB,1,276,290,316.3,MUSCLE,V,8.67,-25.17,3.15,.
10175,30,Tadenac,.,2012,13-Jun,SMB,1,454,481,1274.9,MUSCLE,V,9.53,-25.68,3.17,.
10176,41,Tadenac,.,2012,13-Jun,SMB,1,398,420,898.7,MUSCLE,V,9.98,-26.41,3.31,.
10177,42,Tadenac,.,2012,13-Jun,SMB,1,418,442,1167.7,MUSCLE,V,9.47,-25.1,3.31,.
10178,43,Tadenac,.,2012,13-Jun,SMB,1,383,402,900.6,MUSCLE,V,9.84,-26.28,3.2,.
10180,69,Tadenac,.,2012,13-Jun,SMB,1,386,411,994.9,MUSCLE,V,10.35,-25.55,3.19,.
