,Water,Water2,TAXON,plit_bound,tp_2
1,Baby Lk.,Barren Lake,SMB,0.818429119,3.125808542
2,Baby Lk.,Barren Lake,SMB,1.277969349,3.138235294
3,Baby Lk.,Barren Lake,SMB,0.542528736,3.24428668
4,Baby Lk.,Barren Lake,SMB,1.140498084,3.270588235
5,Baby Lk.,Barren Lake,SMB,0.737701149,3.108536173
6,Baby Lk.,Barren Lake,SMB,0.481264368,3.261113928
7,Baby Lk.,Barren Lake,YPERCH,1.067701149,2.964705882
8,Baby Lk.,Barren Lake,YPERCH,0.573678161,3.140018594
9,Baby Lk.,Barren Lake,YPERCH,0.542183908,3.32387593
10,Baby Lk.,Barren Lake,YPERCH,0.887777778,2.795996732
11,Baby Lk.,Barren Lake,YPERCH,0.657816092,3.040829953
12,Baby Lk.,Barren Lake,YPERCH,0.661800766,2.950543723
13,Baby Lk.,Barren Lake,YPERCH,0.397203065,3.095557246
14,Baby Lk.,Barren Lake,YPERCH,0.523754789,3.053949741
15,Baby Lk.,Barren Lake,YPERCH,NA,3.247058824
16,Baby Lk.,Barren Lake,YPERCH,0.646398467,3.084941965
17,Daisy Lk.,Semi-barren Lake,SMB,0.650212766,3.596117647
18,Daisy Lk.,Semi-barren Lake,SMB,0.625148936,3.688664706
19,Daisy Lk.,Semi-barren Lake,SMB,0.734184397,3.901529412
20,Daisy Lk.,Semi-barren Lake,SMB,0.594780142,3.723129412
21,Daisy Lk.,Semi-barren Lake,SMB,0.697078014,3.765552941
22,Daisy Lk.,Semi-barren Lake,SMB,0.698765957,3.813311765
23,Daisy Lk.,Semi-barren Lake,SMB,0.610921986,3.788647059
24,Daisy Lk.,Semi-barren Lake,SMB,0.829390071,3.485129412
25,Daisy Lk.,Semi-barren Lake,SMB,0.887446809,3.723911765
26,Daisy Lk.,Semi-barren Lake,SMB,0.827829787,3.484482353
27,Daisy Lk.,Semi-barren Lake,SMB,0.718751773,3.327482353
28,Daisy Lk.,Semi-barren Lake,SMB,0.873248227,3.803317647
29,Daisy Lk.,Semi-barren Lake,SMB,0.687446809,3.932147059
30,Daisy Lk.,Semi-barren Lake,SMB,0.815163121,3.608641176
31,Daisy Lk.,Semi-barren Lake,SMB,0.879021277,3.529241176
32,Daisy Lk.,Semi-barren Lake,SMB,0.643602837,3.634552941
33,Daisy Lk.,Semi-barren Lake,SMB,0.664794326,3.699223529
34,Daisy Lk.,Semi-barren Lake,SMB,0.762765957,3.7575
35,Daisy Lk.,Semi-barren Lake,SMB,0.847673759,3.757417647
36,Daisy Lk.,Semi-barren Lake,SMB,0.511631206,3.579823529
37,Daisy Lk.,Semi-barren Lake,YPERCH,0.439234043,3.088035294
38,Daisy Lk.,Semi-barren Lake,YPERCH,0.149900709,2.859223529
39,Daisy Lk.,Semi-barren Lake,YPERCH,0.172524823,3.192135294
40,Daisy Lk.,Semi-barren Lake,YPERCH,0.026397163,3.158005882
41,Daisy Lk.,Semi-barren Lake,YPERCH,0.224893617,2.975617647
42,Daisy Lk.,Semi-barren Lake,YPERCH,0.514468085,3.119235294
43,Daisy Lk.,Semi-barren Lake,YPERCH,-0.162368794,2.870588235
44,Daisy Lk.,Semi-barren Lake,YPERCH,0.680382979,3.364511765
45,Daisy Lk.,Semi-barren Lake,YPERCH,0.639390071,3.956335294
46,Daisy Lk.,Semi-barren Lake,YPERCH,0.998212766,4.437494118
47,Manitou,Reference,SMB,0.693957944,3.955251352
48,Manitou,Reference,SMB,0.761303738,3.689822194
49,Manitou,Reference,SMB,0.645088785,3.965459302
50,Manitou,Reference,SMB,1.315098131,4.144705882
51,Manitou,Reference,SMB,0.424869159,4.111236756
52,Manitou,Reference,SMB,0.685616822,4.071557812
53,Manitou,Reference,SMB,0.544028037,3.642993216
54,Manitou,Reference,SMB,0.845093458,3.562246014
55,Manitou,Reference,SMB,0.464149533,4.181400682
56,Manitou,Reference,SMB,0.643504673,3.658763771
57,Manitou,Reference,SMB,0.698191589,3.680954035
58,Manitou,Reference,YPERCH,0.452920561,3.41387177
59,Manitou,Reference,YPERCH,0.694084112,3.681786707
60,Manitou,Reference,YPERCH,0.227163551,3.145041996
61,Manitou,Reference,YPERCH,0.698247664,4.592747526
62,Manitou,Reference,YPERCH,0.286084112,3.275287883
63,Manitou,Reference,YPERCH,0.196280374,3.255659219
64,Manitou,Reference,YPERCH,0.501915888,3.350787411
65,Manitou,Reference,YPERCH,0.406616822,3.2548084
66,Manitou,Reference,YPERCH,0.152990654,3.059907752
67,Manitou,Reference,YPERCH,0.685588785,3.565661067
68,Manitou,Reference,YPERCH,0.256154206,2.7805121
69,Manitou,Reference,YPERCH,0.266471963,3.074043843
70,Mendelssohn,Reference,SMB,0.719231638,3.71350878
71,Mendelssohn,Reference,SMB,NA,3.905882353
72,Mendelssohn,Reference,SMB,0.773355932,3.582024367
